ID,Name,Modelinfo,Type,SatietyGauge,PooGauge,Rarity,Duration,Description,GetIt,CoolTime,Note,Image,Utile,English
2001,딸기,TX_Cook_Strawberry,0,20,3,1,0,씨처럼 보이는 알갱이가 열매라고 한다.,봄지역,10,,1,0,Strawberry
2002,토마토,TX_Cook_Tomato,0,20,3,1,0,몸에 좋은 영양분이 많은 세계 10대 슈퍼푸드!,여름지역,10,,2,0,Tomato
2003,옥수수,TX_Cook_Corn,0,20,3,1,0,옥수수로 하모니카를 늴리리,가을지역,10,,3,0,Corn
2004,블루베리,TX_Cook_Blueberry,0,20,3,1,0,그냥 먹어도 얼려 먹어도 맛있는 블루베리.,겨울지역,10,,4,0,Blueberry
2005,우유,TX_Cook_Milk,0,20,3,1,0,영양소가 풍부하지만 많이 먹으면 배탈이 날 수 있다.,소 수렵,0,,5,0,Milk
2006,딸기 우유,TX_Cook_Strawberry_Milk,0,50,5,2,0,딸기와 우유를 섞어 만든 음료. 맛과 영양을 함께 챙길 수 있다.,제작대,10,2001_2005,6,0,Strawberry Milk
2007,블루베리 아이스크림,TX_Cook_Blueberry_Icecream,0,50,5,2,0,새콤하고 시원한 블루베리 샤베트.,제작대,10,2004_2004,7,0,Blueberry Icecream
2008,생선조림,TX_Cook_Stewed_Fish,0,50,5,2,0,간장 냄새가 솔솔 풍기는 생선 조림.,제작대,10,1007_1019,8,0,StewedFish
2009,스테이크,TX_Cook_Steak,0,50,5,2,0,남녀노소 누구나 좋아하는 스테이크.,제작대,10,1005_1018,9,0,Steak
2010,고구마 라떼,TX_Cook_Sweet_Potato_Latte,0,50,5,2,0,달콤하고 따뜻한 고구마 라떼.,제작대,10,1006_2002,10,0,Sweet Potato Latte
2011,어묵,TX_Cook_Fish_Cake,0,50,5,2,0,생선으로 만든 묵. 어떤 요리를 해먹을까?,제작대,10,1019_1019,11,0,FishCake
2012,피쉬 앤 칩스,TX_Cook_Fish_and_chips,0,50,5,2,0,영국 사람들의 소울푸드! 감자 튀김인데 왜 칩일까?,제작대,10,1005_1019,12,0,FishAndchips
2013,야채 샐러드,TX_Cook_Salad,0,50,5,2,0,야채를 많이 먹으면 건강해질 수 있어.,제작대,10,1004_2005,13,0,Salad
2014,야자 주스,TX_Cook_Palm_Juice,0,50,5,2,0,야자 열매로 만든 주스. 이게 무슨 맛이지?,제작대,10,1002_1002,14,0,Palm Juice
2015,모듬 닭꼬치,TX_Cook_Yakitori,0,50,5,2,0,양념을 발라 숯불에 구워낸 닭고기. 반찬일까 밥일까?,제작대,10,1003_1018,15,0,Yakitori
2016,핫초코,TX_Cook_Hot_Choco,0,50,5,2,0,달콤하고 따뜻한 핫초코.,제작대,10,1001_2002,16,0,HotChoco
2017,피자,TX_Cook_Pizza,0,70,6,3,0,치즈가 쭉쭉 늘어나는 맛있는 피자!,제작대,10,1016_1017,17,1,Pizza
2018,마라탕,TX_Cook_Maratang,2,70,6,3,0,중독성 있는 매운맛!,제작대,10,1015_1018,18,1,Maratang
2019,유자차,TX_Cook_Yuzu_Tea,0,70,6,3,0,유자로 만든 차.,제작대,10,1011_1013,19,1,YuzuTea
2020,대추차,TX_Cook_Jujube_Tea,1,70,6,3,0,대추로 만든 차.,제작대,10,1012_1013,20,1,JujubeTea
2021,송이 불고기,TX_Cook_Matsutake_Bulgogi,0,70,6,3,0,송이버섯과 고기를 함께 볶아 만든 요리.,제작대,10,1008_1018,21,1,Matsutake Bulgogi
2022,불도장,TX_Cook_Buddha_Jumps_Over_the_Wall,3,100,6,4,0,맛있어서 스님도 담을 넘는다는 요리.,제작대,10,1014_1012,22,1,Buddha Jumps Over the Wall
